"Year" "Pathway" "TradeAdjustment" "GDP" "Population" "kcal_hist" "kcal_targ" "kcal_feas" "fat_feas" "prot_feas" "kcal_mder" "LNPPMatureForest" "LNPPMatureOtherLand" "PATarget" "AgroecoSh" "ProtectedAreasForest" "ProtectedAreasOtherNat" "ProtectedAreasOther" "OECMAreas" "CalcBioScore" "HistCropland" "HistHarvArea" "HistPasture" "HistUrban" "HistForest" "HistOtherLand" "CalcCropland" "CalcPasture" "CalcForest" "CalcNewForest" "CalcOtherLand" "NewOtherLand" "CalcUrban" "TotalLand" "ForestChange" "NewForestChange" "NetForestChange" "HistCropAllCO2e" "HistCropCO2" "HistCropN2O" "HistCropCH4" "CalcCropAllCO2e" "CalcCropN2O" "CalcCropCH4_CH4" "CalcCropCH4" "CalcCropCO2" "HistLiveAllCO2e" "HistLiveN2O" "HistLiveCH4" "CalcLiveAllCO2e" "CalcLiveCH4_CH4" "CalcLiveCH4" "CalcLiveN2O" "CalcAllAgriCO2e" "CalcDeforCO2" "CalcOtherLUCCO2" "CalcSequestCO2" "CalcPeatCO2" "CalcAllLandCO2e" "GHGbiofuels" "HistWFblue" "CalcWFblue" "CalcSequestAband" "CalcSequestAffor" "CalcFarmLabourFTE" "CalcN_org" "CalcN_synth" "HistN_org" "HistN_synth" "TotalP" "HistP"
"2000" "CurrentTrend" "No" 46786.1914550363 5970.747278 2669.82072510478 2669.82072510478 2662.9157174208 67.9533590236349 70.803444386463 2043.46946363766 3124396.0761383 1327128.41233077 0 0.456249668984551 883503.2798126 287111.786902961 689374.600903 226882.549 72.2184149534785 1429657.92745811 1105335.74654766 3151877.42097436 103659.026895144 3962911.29749627 3582274.52984484 1492189.44781237 3103308.22594434 3965777.84676943 0 3525474.33801235 0 40845.8229801569 12127595.6815519 0 0 0 1907.66468924 523.6895423 737.6607966 646.31435038 1934.85558081583 761.028009615468 23.6924362397221 644.434265701864 529.393305524856 3282.2716267 720.0988977 2562.17272898 2901.33833916301 83.5575586237181 2272.76559452032 628.572744598904 4831.25949323297 0 0 0 0 0 -4.93442677744 227560.020575837 844942.140845741 0 0 186927.651955955 23524.0263189287 73399.7375004142 24296.5890547543 79240.60418 17776.4468927045 0
"2005" "CurrentTrend" "No" 60433.454831166 6357.526156 2697.02713611263 2697.02713611263 2683.94626303871 70.9516252639643 71.5741611876283 2054.28106262273 3124396.0761383 1327128.41233077 0 0.463681249545005 883503.2798126 287111.786902961 689374.600903 226882.549 72.218445949115 1444051.54275911 1167374.07486765 3078108.72612682 102186.504929664 3944643.67431191 3658867.70701816 1508852.56036119 3021799.02615198 3924367.72513384 20014.4024434781 3467542.12367125 137026.903585007 48009.4923904469 12127612.2337281 -41410.121641599 20014.4024434781 -21395.7192001645 2024.18429576 546.1426158 827.358441 650.68323888 2041.59465663069 844.684805613366 23.825217220628 648.04590836272 548.863942654339 3432.217836 764.4058422 2667.81199384 3023.15231483636 105.818118470587 2350.59125590689 672.561058930558 5054.92184551704 2507.29719364934 455.11167652582 -368.217350911 0 2611.65504881847 -9.82512594814 512186.422218379 863848.012425865 -242.104159077 -126.11319181 202483.989233287 24002.2163602554 87872.5588921326 24872.6906325696 88352.70608 21550.7968810622 0
"2010" "CurrentTrend" "No" 81096.3340628579 6756.22319 2752.25889217828 2752.25889217828 2732.24432096688 70.2789838445207 73.7805398461483 2057.16310560493 3124396.0761383 1327128.41233077 0 0.473463656114694 883503.2798126 287111.786902961 689374.600903 226882.549 74.3970848983268 1446140.1226601 1211630.04553249 3033416.12902022 104404.604945538 3932307.44550459 3713318.61567425 1478935.27174036 2981610.79218454 3899643.20628076 39466.8048869563 3429967.08732135 241240.927110636 56749.7509767876 12127613.8404883 -24724.51888214 19452.40244348 -5272.11644165641 2091.2709936 515.0008736 899.9036592 676.3664608 2115.55645777951 917.17150410075 24.9261222165731 677.990524259842 520.39442941416 3539.53567912 801.3054504 2738.23022878 3108.81653239152 126.203270205093 2405.47102364778 703.345508725385 5143.02024010641 1348.67979431272 258.192782721173 -621.1953249303 0 1003.14078160465 -81.35275003 1466926.71248873 903124.653271534 -418.1972399643 -202.998085019 209588.472858194 25109.2178813366 98645.2482632038 26042.303551022 99368.87077 24493.9218054237 0
"2015" "CurrentTrend" "No" 111258.061301279 7174.732523 2752.03443365333 2762.74839927713 2762.27323480527 72.5231332720855 74.917227390708 2055.84334055405 3119463.58801602 1329946.27522672 0 0.468731979076483 923455.6908126 340749.897902961 718190.997903 233420.565 74.3970636348306 1479666.2595611 1290358.06181701 2970840.69719785 106843.967111691 3917922.75821959 3757683.59713606 1518668.47285076 2927549.652187 3855254.93923452 55854.5073304344 3411266.16171603 291535.732549287 67471.8145275604 12127601.2804466 -44388.2670122 16387.7024434781 -28000.5645647244 2113.21397932 495.6839907 951.0596277 666.47036098 2155.73514699474 994.666486343989 24.6729676892883 671.104721127311 489.963939533659 3662.39529828 841.0536225 2821.34167576 3193.6337883961 147.028820034572 2460.65832483417 732.975463481741 5256.50019720221 2877.89047845311 102.084199774907 -750.269469829 0 2247.16873802473 -92.868738143 1482859.57165198 924565.347347826 -494.052268905 -256.217200873 219038.935394963 25232.096729888 109017.724647968 26591.9632850312 104668.56329 26688.3120974932 0
"2020" "CurrentTrend" "No" 144767.024454809 7559.46716 2806.25923594951 2816.89065162747 2801.33548319741 75.6428993566003 77.3522235491145 2058.49212462828 3110188.48601602 1332698.14422672 0 0.462397367261111 965767.6618126 364558.191902961 766062.531903 249631.195 74.3970636863753 1492299.6708 1331476.70720579 2958986.78069097 102772.944815649 3903476.71495521 3766638.57342021 1523778.8494247 2917675.6049136 3830738.05725509 72528.7896648 3381499.32561998 320510.146075252 80870.5381425317 12127601.3110115 -24516.8820268486 16674.2823344075 -7842.59969243851 2143.19372566 479.9394452 985.0528233 678.20145716 2164.11709060857 1019.21440998079 24.9806209086306 679.472888680215 465.429791975279 3840.61406746 907.5546207 2933.05944682 3318.12846980558 168.799515156411 2540.80483974711 777.323630080948 5381.07591255149 1543.57292703578 107.284817174052 -897.115272083 0 771.206001606208 -101.169647992 1482859.57165198 929113.316260201 -572.419990961 -324.695281161 223162.446948527 25724.5259104277 112586.802821528 27495.7220558074 111281.91402 28823.9881396898 0
"2025" "CurrentTrend" "No" 199379.463280073 7871.92208788696 0 2836.41294776915 2794.83133343713 78.2453873733044 77.7377502307152 2067.08242077253 3084874.88152142 1227839.77472087 0 0.463980883637804 1030035.75064294 406931.999939052 766062.531903 249631.195 76.7952899373238 0 0 0 0 0 0 1557664.45068022 2897422.5456434 3790619.91989876 99257.2927945174 3305329.54847045 382495.218968397 94812.5581077794 12127601.5345942 -40118.137310454 26728.5031297174 -13389.6341807041 0 0 0 0 2232.83476378796 1059.39438083704 25.5759308601158 695.665319415976 477.77506352792 0 0 0 3761.07075215681 191.991734270174 2840.85427288949 920.216479287759 5883.75939521072 2544.98837424708 806.76353370669 -1166.817234502 0 2202.3982029558 -110.146120758 0 951288.328263493 -714.883085713 -451.934148724 226049.924356988 27529.5170587253 115355.769576192 0 0 29933.4185141704 0
"2030" "CurrentTrend" "No" 258608.869094163 8170.19104479431 0 2863.22051182645 2819.52807445143 82.7084878067209 79.3251777108753 2072.31495313536 3052011.79168213 1211911.1930676 0 0.471436584399513 1030958.88247329 408615.858975143 766062.531903 249631.195 77.6955677224404 0 0 0 0 0 0 1606558.68502067 2928264.62107657 3737886.61994428 125013.609461226 3237606.4900541 385678.106824354 106593.145787093 12127601.2781656 -52733.299943217 25756.3166663367 -26976.9832717629 1652.8961703 0 1002.4831635 650.41300684 2295.3618597984 1092.74889819013 26.238562350328 713.688895946121 488.924065666797 3999.8565482 835.6693527 3164.1871955 4397.94260360106 232.809967670309 3277.3681107024 1120.57449287989 6589.98168214962 2971.56760448187 594.297835852705 -1278.967375821 0 2304.36159408309 -103.322781238 0 989220.430449031 -719.199682674 -559.7676932 241168.035099221 29049.255214289 118214.386487818 0 0 30644.9261054535 0
"2035" "CurrentTrend" "No" 319550.543471762 8439.47434681033 0 2894.62306326297 2843.09651711304 87.6301952008379 81.05057316495 2072.66316145235 3017892.32031282 1200051.74296341 0 0.485236380960341 1031709.83051686 410298.908236253 766062.531903 249631.195 78.522653203753 0 0 0 0 0 0 1667419.39163062 2940929.42407742 3682547.68904224 149240.799393387 3171161.10454608 398014.210963784 118288.438562598 12127601.0582312 -55338.930920417 24227.189932128 -31111.7409855604 0 0 0 0 2362.99586310509 1135.26665120639 26.5884995516542 723.207187783598 504.522024086794 0 0 0 5090.28804276849 276.108596751899 3747.35029754422 1342.93774520147 7350.82694035604 3113.04216558663 575.478718073575 -1394.091668462 0 2311.89274474119 -102.45696547 0 1027303.76958606 -732.439331512 -661.65233688 256930.401653027 30810.6495999444 121895.386991419 0 0 31771.8828628903 0
"2040" "CurrentTrend" "No" 379611.710603948 8687.17435331964 0 2931.03640440615 2873.35034119899 93.1467358765188 83.0495498861415 2069.66134842024 2989289.77159345 1187114.14778711 0 0.504758867784313 1032460.77856044 411981.957497362 766062.531903 249631.195 79.3062620756481 0 0 0 0 0 0 1717860.24431251 2940253.90590186 3635910.95794258 173447.989325482 3111769.09765492 418818.945591157 129539.719800363 12127600.860528 -46636.731098817 24207.1899321247 -22429.5411662905 0 0 0 0 2415.13258262224 1166.0374621612 26.9249149760052 732.357687328998 516.737433130789 0 0 0 5832.37501595353 321.175053571238 4246.4521275637 1585.92288838975 8145.36974187487 2371.84525046206 540.942484000363 -1516.351321091 0 1413.89994286782 -102.137856703 0 1065931.7224817 -753.030415662 -763.32090527 273369.842761391 32391.3206721411 124142.126335789 0 0 32406.4797641707 0
"2045" "CurrentTrend" "No" 440059.716748289 8903.81241906811 0 2971.88403668566 2914.18627751763 99.3404963221409 85.3911335216467 2066.9696784567 2961448.33364526 1177674.77590882 0 0.52473437285736 1033819.28410401 413699.374760533 766062.531903 249631.195 79.9941970658577 0 0 0 0 0 0 1769230.70288985 2928006.61201137 3589840.90346606 197391.402937378 3056919.84698079 444997.341490162 141213.868705801 12127600.6784763 -46070.054509717 23943.4136085627 -22126.640901149 0 0 0 0 2467.79084054634 1195.68477198241 27.3036415498914 742.659050137262 529.447018446805 0 0 0 6616.38133171761 366.958873044315 4769.55645975691 1846.82487195235 8982.58102258668 2307.50096654033 518.279066008969 -1655.843971404 0 1187.39959055547 -101.591149693 0 1103308.80050946 -792.978044744 -862.865926658 289781.746963075 33963.3071603859 126024.253261706 0 0 32973.5088362567 0
