scenathon_id,submission_id,pathway_id,pathways,country_id,country,iteration,gdp,population,diet,food_waste_share,import_share,exports,livestock_productivity,crop_productivity,agricultural_land_expansion,afforestation,ruminant_density,trade_adjustment,population_activity,climate_change,protected_areas,post_harvest_loss,biofuels,price,gwp,urbanarea,agpractice,irrarea,calibrationyear
16,478,1,CurrentTrends,1,ARG,4,SSP2,UN_medium,NoChange,Current,I3,E1,BAUGrowth,LowGrowth,FreeExpansion,NoAffor,BAUGrowth,No,Low,NoChange,NoChange,NoChange,NoChange,Average,AR6,UN_medium,NoChange,LowGrowth,2020
16,478,2,NationalCommitments,1,ARG,4,SSP2,UN_medium,HealthyDiet,Current,I3,E3,HighGrowth,HighGrowth,NoDefor2030,BonnChallenge+,HighGrowth,No,Middle,NoChange,PAExpansion,NoChange,NoChange,Average,AR6,UN_medium,Reduce_till,LowGrowth,2020
16,478,3,GlobalSustainability,1,ARG,4,SSP2,UN_medium,HealthyDiet,Reduced,I1,E1,HighGrowth,HighGrowth,NoExpansion,BonnChallenge,HighGrowth,No,Middle,NoChange,PAExpansion,Reduced,NoChange,Average,AR6,NoChange,Mixed,LowGrowth,2020
16,469,1,CurrentTrends,2,AUS,4,IGR 2023,IGR 2023,Nochange,Scenathon2020_CurrentTrends,I2,Stable,Scenathon2020_CurrentTrends,LowGrowth,NoExpansion,Scenathon2020_CurrentTrends,Scenathon2020_CurrentTrends,No,Low,NoChange,NoChange,Scenathon2020_CurrentTrends,National,CurrentDollars,AR6,CurrentTrend,Advanced_Farming,NoGrowth,2020
16,469,2,NationalCommitments,2,AUS,4,IGR 2023,IGR 2023,Nochange,Scenathon2020_CurrentTrends,I2,Stable,Scenathon2020_CurrentTrends,MiddleGrowth,NoExpansion,Scenathon2020_CurrentTrends,Scenathon2020_CurrentTrends,No,Middle,NoChange,PAscen_NationalCommitment2030,Scenathon2020_CurrentTrends,National,CurrentDollars,AR6,IGR 2023,Advanced_Farming,NoGrowth,2020
16,469,3,GlobalSustainability,2,AUS,4,IGR 2023,IGR 2023,EATLancetAverage,Scenathon2020_Sustainability,I2,Stable,Scenathon2020_Sustainability,HighGrowth,NoExpansion,Scenathon2020_Sustainability,Scenathon2020_Sustainability,No,Middle,NoChange,Pascen_NationalCommitment_lingrowth,Scenathon2020_Sustainability,National,CurrentDollars,AR6,IGR 2023,Advanced_Farming,NoGrowth,2020
16,423,1,CurrentTrends,3,BRA,4,SSP2,UN_medium,FatDiet,Current,I2,E2,BAUGrowth,LowGrowth,FreeExpansion,NoAffor,BAUGrowth,No,Middle,NoChange,NoChange,NoChange,Andrade_low,Average,AR6,CurrentTrend,Diversified,NoGrowth,2020
16,423,2,NationalCommitments,3,BRA,4,SSP2,UN_medium,FatDiet,Reduced,I2,E2,HighGrowth,MiddleGrowth,NoDefor2030,BonnChallenge,HighGrowth,No,Middle,NoChange,PAExpansion,NoChange,Andrade_high,Average,AR6,CurrentTrend,Diversified,HighGrowth,2020
16,423,3,GlobalSustainability,3,BRA,4,SSP2,UN_low,EATLancetAverage,Reduced,I2,E2,HighGrowth,HighGrowth,NoDefor2030,BonnChallenge+,HighGrowth,No,High,NoChange,PAExpansion,Reduced,Andrade_high,Average,AR6,CurrentTrend,Diversified,HighGrowth,2020
16,479,1,CurrentTrends,5,CAN,4,SSP1,UN_high,FatDiet,Current,I2,MyExportScen,NoGrowth,ReducedGrowth,FreeExpansion,NoAffor,NoGrowth,No,Low,NoChange,NoChange,NoChange,NoChange,Custom,AR6,CurrentTrend,Organic,LowGrowth,2020
