"ALPHA3","Pathway","YEAR","Nmanure_Anim","ANIMAL","Anim_feas","NperTLU_live"
"BRA","GS_agrexp",2000,7356224.38764058,"cattle",119180.020721548,61.723637427683
"BRA","GS_agrexp",2000,332015.387100772,"chickens",8575.20844913852,38.7180543855033
"BRA","GS_agrexp",2000,308866.630027762,"sheep_goats",2360.84252244159,130.828984606873
"BRA","GS_agrexp",2000,475122.921492007,"pigs",7917.15303999997,60.0118400000019
"BRA","GS_agrexp",2005,8974886.02074471,"cattle",145375.959182236,61.7356959928584
"BRA","GS_agrexp",2005,395008.321852085,"chickens",10202.1738468342,38.7180543855033
"BRA","GS_agrexp",2005,334280.791269079,"sheep_goats",2555.09734538991,130.828984606873
"BRA","GS_agrexp",2005,512967.477863658,"pigs",8547.77120420972,60.0118400000019
"BRA","GS_agrexp",2010,9065441.38927962,"cattle",146909.193070554,61.7077883269422
"BRA","GS_agrexp",2010,487538.619365555,"chickens",12592.0311495874,38.7180283763459
"BRA","GS_agrexp",2010,346586.934734746,"sheep_goats",2649.16016719233,130.828984606873
"BRA","GS_agrexp",2010,586438.880359558,"pigs",9772.05298753611,60.0118400000019
"BRA","GS_agrexp",2015,9319522.03198201,"cattle",150980.983913999,61.7264624351008
"BRA","GS_agrexp",2015,521347.192379855,"chickens",13465.2063993176,38.7180988481749
"BRA","GS_agrexp",2015,364028.349115043,"sheep_goats",2782.47477200032,130.828984606873
"BRA","GS_agrexp",2015,599060.738966487,"pigs",9982.37579395113,60.0118400000019
"BRA","GS_agrexp",2020,9430691.72389418,"cattle",152788.963505595,61.7236448727452
"BRA","GS_agrexp",2020,577635.53318244,"chickens",14919.1706286674,38.717670543462
"BRA","GS_agrexp",2020,422180.23468209,"sheep_goats",3226.96255688826,130.828984606873
"BRA","GS_agrexp",2020,620237.68784772,"pigs",10335.2553070811,60.0118400000019
"BRA","GS_agrexp",2025,10434513.3402744,"cattle",169729.250099754,61.47740200432
"BRA","GS_agrexp",2025,603327.591100242,"chickens",15600.6899350496,38.6731352018453
"BRA","GS_agrexp",2025,448826.705368289,"sheep_goats",3430.63661861295,130.828984606873
"BRA","GS_agrexp",2025,657009.119639013,"pigs",10947.9915903094,60.0118400000019
