"ALPHA3","Pathway","YEAR","Nmanure_Anim","ANIMAL","Anim_feas","NperTLU_live"
"COL","GS_crop",2000,1158630.17587168,"cattle",17073.0543752008,67.8630870850286
"COL","GS_crop",2000,40777.2685704405,"chickens",1044.29786375122,39.0475457107271
"COL","GS_crop",2000,42613.2100271809,"sheep_goats",324.203748183823,131.43959706172
"COL","GS_crop",2000,33646.6654987085,"pigs",560.667120000002,60.0118400000135
"COL","GS_crop",2005,1222768.69660052,"cattle",18042.2225702827,67.77262013243
"COL","GS_crop",2005,58173.7094136212,"chickens",1489.5648380732,39.0541639589659
"COL","GS_crop",2005,39086.0983331993,"sheep_goats",297.36927993507,131.43959706172
"COL","GS_crop",2005,25832.9185769726,"pigs",430.463698113019,60.0118400000134
"COL","GS_crop",2010,1298803.63876401,"cattle",19224.785176068,67.558811548169
"COL","GS_crop",2010,61258.0176337061,"chickens",1568.66880738364,39.050956674454
"COL","GS_crop",2010,34247.271072408,"sheep_goats",260.555204352358,131.43959706172
"COL","GS_crop",2010,77556.4995155052,"pigs",1292.35330087343,60.0118400000134
"COL","GS_crop",2015,1068653.76855821,"cattle",15703.1004379072,68.0536797674992
"COL","GS_crop",2015,57786.5180880618,"chickens",1479.85923522382,39.0486586241577
"COL","GS_crop",2015,27040.8509743711,"sheep_goats",205.728346547453,131.43959706172
"COL","GS_crop",2015,86826.0962200451,"pigs",1437.32877994413,60.4079577557891
"COL","GS_crop",2020,1325740.32716389,"cattle",19481.9928780667,68.0495232423805
"COL","GS_crop",2020,81616.1994764727,"chickens",2090.07993409995,39.049319667106
"COL","GS_crop",2020,6555.87846572014,"sheep_goats",49.8774997205881,131.43959706172
"COL","GS_crop",2020,89857.0295289571,"pigs",1497.32168733598,60.0118400000134
"COL","GS_crop",2025,1332554.95164761,"cattle",19607.9332564934,67.9599901843972
"COL","GS_crop",2025,80541.4226404779,"chickens",2068.94183894096,38.9287997973423
"COL","GS_crop",2025,6549.51726886302,"sheep_goats",49.8370090495912,131.418746705803
"COL","GS_crop",2025,81895.8193191488,"pigs",1330.51155933804,61.5521291373776
"COL","GS_crop",2030,1341479.61387618,"cattle",19664.8873075384,68.2169998178395
"COL","GS_crop",2030,78577.275816516,"chickens",2034.17916200282,38.6284931456824
"COL","GS_crop",2030,6509.57397533347,"sheep_goats",49.5655007447711,131.332759228105
"COL","GS_crop",2030,72714.9306699703,"pigs",1144.23265901663,63.5490781502972
"COL","GS_crop",2035,1343092.82193157,"cattle",19615.1252951819,68.4723039858164
"COL","GS_crop",2035,75701.3103794886,"chickens",1983.57679551036,38.1640431319983
"COL","GS_crop",2035,6428.32556545444,"sheep_goats",48.9908500545569,131.214819875462
"COL","GS_crop",2035,62514.5515386987,"pigs",940.176586829341,66.4923509205045
"COL","GS_crop",2040,1334778.30343886,"cattle",19423.9576875643,68.7181430740771
"COL","GS_crop",2040,71879.7110093052,"chickens",1914.39133162653,37.5470311747775
"COL","GS_crop",2040,6293.8839292769,"sheep_goats",48.0214602515169,131.063984650031
"COL","GS_crop",2040,51537.6680150158,"pigs",721.254169704723,71.455625741637
"COL","GS_crop",2045,1317120.29737978,"cattle",19103.1061044129,68.9479653298644
"COL","GS_crop",2045,67301.5581611697,"chickens",1829.06721117471,36.7955631974539
"COL","GS_crop",2045,6110.97350953216,"sheep_goats",46.6971793488313,130.863867898374
"COL","GS_crop",2045,40228.2771589325,"pigs",492.729148221749,81.6437941699118
"COL","GS_crop",2050,1291234.74146942,"cattle",18656.7689455801,69.2099872832121
"COL","GS_crop",2050,62208.6563016938,"chickens",1730.31197560134,35.9522774961286
"COL","GS_crop",2050,5888.69100520958,"sheep_goats",45.0669655301542,130.665354011232
"COL","GS_crop",2050,29021.7566351503,"pigs",259.244974583504,111.947229379377
"COL","GS_diet",2000,1158630.17587168,"cattle",17073.0543752008,67.8630870850286
"COL","GS_diet",2000,40777.2685704405,"chickens",1044.29786375122,39.0475457107271
"COL","GS_diet",2000,42613.2100271809,"sheep_goats",324.203748183823,131.43959706172
"COL","GS_diet",2000,33646.6654987085,"pigs",560.667120000002,60.0118400000135
"COL","GS_diet",2005,1222768.69660052,"cattle",18042.2225702827,67.77262013243
"COL","GS_diet",2005,58173.7094136212,"chickens",1489.5648380732,39.0541639589659
"COL","GS_diet",2005,39086.0983331993,"sheep_goats",297.36927993507,131.43959706172
"COL","GS_diet",2005,25832.9185769726,"pigs",430.463698113019,60.0118400000134
"COL","GS_diet",2010,1298803.63876401,"cattle",19224.785176068,67.558811548169
"COL","GS_diet",2010,61258.0176337061,"chickens",1568.66880738364,39.050956674454
"COL","GS_diet",2010,34247.271072408,"sheep_goats",260.555204352358,131.43959706172
"COL","GS_diet",2010,77556.4995155052,"pigs",1292.35330087343,60.0118400000134
"COL","GS_diet",2015,1068653.76855821,"cattle",15703.1004379072,68.0536797674992
"COL","GS_diet",2015,57786.5180880618,"chickens",1479.85923522382,39.0486586241577
"COL","GS_diet",2015,27040.8509743711,"sheep_goats",205.728346547453,131.43959706172
"COL","GS_diet",2015,86826.0962200451,"pigs",1437.32877994413,60.4079577557891
"COL","GS_diet",2020,1325740.32716389,"cattle",19481.9928780667,68.0495232423805
"COL","GS_diet",2020,81616.1994764727,"chickens",2090.07993409995,39.049319667106
"COL","GS_diet",2020,6555.87846572014,"sheep_goats",49.8774997205881,131.43959706172
"COL","GS_diet",2020,89857.0295289571,"pigs",1497.32168733598,60.0118400000134
"COL","GS_diet",2025,1301026.12293046,"cattle",19482.7704863851,66.7782913030586
"COL","GS_diet",2025,80467.4985007084,"chickens",2091.79451388415,38.4681659534962
"COL","GS_diet",2025,6392.45851836506,"sheep_goats",49.6363540404906,128.785819223355
"COL","GS_diet",2025,88482.4446431194,"pigs",1542.75718914076,57.3534482716622
"COL","GS_diet",2030,1276660.74258579,"cattle",19407.1856948722,65.7828890112137
"COL","GS_diet",2030,78424.6906967168,"chickens",2081.11042608012,37.6840602564438
"COL","GS_diet",2030,6186.38688436029,"sheep_goats",49.1523332700405,125.86150997904
"COL","GS_diet",2030,86106.2682524035,"pigs",1580.21102791046,54.4903602946393
"COL","GS_diet",2035,1243670.09429779,"cattle",19219.1671472499,64.7098849169304
"COL","GS_diet",2035,75466.0818042269,"chickens",2055.40966371234,36.7158348705655
"COL","GS_diet",2035,5932.13650331132,"sheep_goats",48.355943973207,122.67646985856
"COL","GS_diet",2035,82710.2072958752,"pigs",1607.71606525338,51.4457801868391
"COL","GS_diet",2040,1200204.58110167,"cattle",18886.9570696212,63.5467416311411
"COL","GS_diet",2040,71559.5478446502,"chickens",2011.31470958335,35.5784937601704
"COL","GS_diet",2040,5621.61749438115,"sheep_goats",47.1602617811363,119.202423440104
"COL","GS_diet",2040,78266.4745200915,"pigs",1622.37454727516,48.2419270269883
"COL","GS_diet",2045,1147534.70710045,"cattle",18424.8213360992,62.2819991666415
"COL","GS_diet",2045,66895.9263374395,"chickens",1950.71498823875,34.2930293460441
"COL","GS_diet",2045,5262.96466440417,"sheep_goats",45.6091870565695,115.39264354518
"COL","GS_diet",2045,72992.6948580096,"pigs",1624.36726313506,44.9360785055052
"COL","GS_diet",2050,1087311.08255934,"cattle",17839.2674130985,60.9504335229022
"COL","GS_diet",2050,61718.6811015189,"chickens",1875.82002496271,32.9022402363712
"COL","GS_diet",2050,4867.93984427241,"sheep_goats",43.755355823464,111.25357690868
"COL","GS_diet",2050,67163.4419476167,"pigs",1613.76997077728,41.6189687277842
"COL","Current Trend_Yes",2000,1157685.04201288,"cattle",17073.0543752008,67.8077288674523
"COL","Current Trend_Yes",2000,40777.2685704405,"chickens",1044.29786375122,39.0475457107271
"COL","Current Trend_Yes",2000,42613.2100271809,"sheep_goats",324.203748183823,131.43959706172
"COL","Current Trend_Yes",2000,33646.6654987084,"pigs",560.667120000002,60.0118400000134
"COL","Current Trend_Yes",2005,1224471.28062203,"cattle",18042.2225702827,67.8669867779402
"COL","Current Trend_Yes",2005,58173.7094136212,"chickens",1489.5648380732,39.0541639589659
"COL","Current Trend_Yes",2005,39086.0983331993,"sheep_goats",297.36927993507,131.43959706172
"COL","Current Trend_Yes",2005,25832.9185769726,"pigs",430.463698113019,60.0118400000134
"COL","Current Trend_Yes",2010,1305984.42404939,"cattle",19224.785176068,67.9323286106288
"COL","Current Trend_Yes",2010,61258.0176337061,"chickens",1568.66880738364,39.050956674454
"COL","Current Trend_Yes",2010,34247.271072408,"sheep_goats",260.555204352358,131.43959706172
"COL","Current Trend_Yes",2010,77556.4995155052,"pigs",1292.35330087343,60.0118400000135
"COL","Current Trend_Yes",2015,1065751.18883095,"cattle",15703.1004379072,67.8688385803247
"COL","Current Trend_Yes",2015,57786.5180880618,"chickens",1479.85923522382,39.0486586241577
"COL","Current Trend_Yes",2015,27040.8509743711,"sheep_goats",205.728346547453,131.43959706172
"COL","Current Trend_Yes",2015,86256.7447694218,"pigs",1437.32877994413,60.0118400000135
"COL","Current Trend_Yes",2020,1318443.67573675,"cattle",19481.9928780667,67.6749901300441
"COL","Current Trend_Yes",2020,81616.1994764727,"chickens",2090.07993409995,39.049319667106
"COL","Current Trend_Yes",2020,6555.87846572014,"sheep_goats",49.8774997205881,131.43959706172
"COL","Current Trend_Yes",2020,89857.0295289571,"pigs",1497.32168733598,60.0118400000134
"COL","Current Trend_Yes",2025,1335190.32372195,"cattle",19607.9332564934,68.0943935424598
"COL","Current Trend_Yes",2025,80933.7196766814,"chickens",2068.94183894096,39.1184122015287
"COL","Current Trend_Yes",2025,6550.55638823955,"sheep_goats",49.8370090495912,131.43959706172
"COL","Current Trend_Yes",2025,82306.5368576252,"pigs",1330.51155933804,61.8608205843582
"COL","Current Trend_Yes",2030,1347052.18826668,"cattle",19664.8873075384,68.5003766968093
"COL","Current Trend_Yes",2030,79751.7323203212,"chickens",2034.17916200282,39.2058545333828
