"ALPHA3","Pathway","YEAR","Nmanure_Anim","ANIMAL","Anim_feas","NperTLU_live"
"ETH","Current Trend_Yes",2000,1438905.22148774,"cattle",17256.8863756889,83.3815087010623
"ETH","Current Trend_Yes",2000,12804.2849403586,"chickens",324.588299089887,39.4477711496704
"ETH","Current Trend_Yes",2000,283883.335332847,"sheep_goats",2061.88497127711,137.681461035633
"ETH","Current Trend_Yes",2000,263.963671528248,"pigs",3.51879166666667,75.0154304469806
"ETH","Current Trend_Yes",2005,1757651.74468186,"cattle",21077.8758913988,83.3884663586569
"ETH","Current Trend_Yes",2005,14480.558081804,"chickens",366.90605433974,39.4666643150989
"ETH","Current Trend_Yes",2005,542648.617104502,"sheep_goats",3941.33395318968,137.681461035633
"ETH","Current Trend_Yes",2005,306.197858972768,"pigs",4.08179833333333,75.0154304469806
"ETH","Current Trend_Yes",2010,2322761.30110667,"cattle",27855.5971265769,83.385801803205
"ETH","Current Trend_Yes",2010,22181.2423304638,"chickens",561.810105179663,39.4817432544586
"ETH","Current Trend_Yes",2010,716407.007507049,"sheep_goats",5202.95103351733,137.692437021215
"ETH","Current Trend_Yes",2010,327.314952695028,"pigs",4.36330166666667,75.0154304469806
"ETH","Current Trend_Yes",2015,2516276.97682004,"cattle",30176.3739343404,83.3856639732496
"ETH","Current Trend_Yes",2015,27219.1575791462,"chickens",689.486420974365,39.4774382078195
"ETH","Current Trend_Yes",2015,859462.127649564,"sheep_goats",6242.31678674837,137.683196321291
"ETH","Current Trend_Yes",2015,366.286549159459,"pigs",4.88281606833334,75.0154304469806
"ETH","Current Trend_Yes",2020,3058331.80542247,"cattle",36677.5507625334,83.3842975291196
"ETH","Current Trend_Yes",2020,25612.6387795995,"chickens",648.96892666454,39.4666643150989
"ETH","Current Trend_Yes",2020,1401519.57658352,"sheep_goats",10179.2981361715,137.683321368032
"ETH","Current Trend_Yes",2020,377.531401566562,"pigs",5.03271659333334,75.0154304469806
"ETH","Current Trend_Yes",2025,3899185.93685522,"cattle",40239.9797545575,96.898307619392
"ETH","Current Trend_Yes",2025,210313.920289202,"chickens",1748.28957359208,120.296959649017
"ETH","Current Trend_Yes",2025,1736482.57336036,"sheep_goats",11007.0290662135,157.761241740567
"ETH","Current Trend_Yes",2025,42008.8836685435,"pigs",5.64388772918055,7443.252893098
"ETH","Current Trend_Yes",2030,5002468.82184448,"cattle",45769.3956703757,109.297244339242
"ETH","Current Trend_Yes",2030,435976.788967611,"chickens",3110.94366534069,140.142939206797
"ETH","Current Trend_Yes",2030,2206017.19580353,"sheep_goats",12524.1331215978,176.141308494978
"ETH","Current Trend_Yes",2030,91791.0347141915,"pigs",6.19728552019501,14811.490355749
"ETH","Current Trend_Yes",2035,6187007.91043684,"cattle",51171.1915382655,120.90802899929
"ETH","Current Trend_Yes",2035,697398.327551769,"chickens",4676.79290725876,149.118924310151
"ETH","Current Trend_Yes",2035,2716409.86353544,"sheep_goats",14053.9821778329,193.283998027263
"ETH","Current Trend_Yes",2035,147943.321108095,"pigs",6.67020453629565,22179.7278184
"ETH","Current Trend_Yes",2040,7445689.67672949,"cattle",56499.3446471365,131.783646752562
"ETH","Current Trend_Yes",2040,992540.977969543,"chickens",6435.20553615751,154.236095862479
"ETH","Current Trend_Yes",2040,3267650.98542931,"sheep_goats",15602.8991851213,209.425885962609
"ETH","Current Trend_Yes",2040,208926.582738923,"pigs",7.07076039760024,29547.9652810511
"ETH","Current Trend_Yes",2045,8773655.4354269,"cattle",61795.2255647299,141.979503355588
"ETH","Current Trend_Yes",2045,1320408.77450533,"chickens",8381.26125440954,157.54296810765
"ETH","Current Trend_Yes",2045,3860383.04993051,"sheep_goats",17075.4725261319,226.077670414254
"ETH","Current Trend_Yes",2045,273382.351854234,"pigs",7.40548408383829,36916.2027437021
"ETH","Current Trend_Yes",2050,10136609.9391407,"cattle",66885.347931532,151.552025258465
"ETH","Current Trend_Yes",2050,1675518.43945376,"chickens",10481.4184495311,159.856077449966
"ETH","Current Trend_Yes",2050,4481940.28260275,"sheep_goats",18519.6798217225,242.009598748338
"ETH","Current Trend_Yes",2050,339057.827343876,"pigs",7.65636475845603,44284.4402063532
"ETH","GS_agrexp",2000,1438905.22148774,"cattle",17256.8863756889,83.3815087010623
"ETH","GS_agrexp",2000,12804.2849403586,"chickens",324.588299089887,39.4477711496704
"ETH","GS_agrexp",2000,283883.335332847,"sheep_goats",2061.88497127711,137.681461035633
"ETH","GS_agrexp",2000,263.963671528248,"pigs",3.51879166666667,75.0154304469806
"ETH","GS_agrexp",2005,1757651.74468186,"cattle",21077.8758913988,83.3884663586569
"ETH","GS_agrexp",2005,14480.558081804,"chickens",366.90605433974,39.4666643150989
"ETH","GS_agrexp",2005,542648.617104502,"sheep_goats",3941.33395318968,137.681461035633
"ETH","GS_agrexp",2005,306.197858972768,"pigs",4.08179833333333,75.0154304469806
"ETH","GS_agrexp",2010,2322761.30110667,"cattle",27855.5971265769,83.385801803205
"ETH","GS_agrexp",2010,22181.2423304638,"chickens",561.810105179663,39.4817432544586
"ETH","GS_agrexp",2010,716407.007507049,"sheep_goats",5202.95103351733,137.692437021215
"ETH","GS_agrexp",2010,327.314952695028,"pigs",4.36330166666667,75.0154304469806
"ETH","GS_agrexp",2015,2516276.97682004,"cattle",30176.3739343404,83.3856639732496
"ETH","GS_agrexp",2015,27219.1575791462,"chickens",689.486420974365,39.4774382078195
"ETH","GS_agrexp",2015,859462.127649564,"sheep_goats",6242.31678674837,137.683196321291
"ETH","GS_agrexp",2015,366.286549159459,"pigs",4.88281606833334,75.0154304469806
"ETH","GS_agrexp",2020,3058331.80542247,"cattle",36677.5507625334,83.3842975291196
"ETH","GS_agrexp",2020,25612.6387795995,"chickens",648.96892666454,39.4666643150989
"ETH","GS_agrexp",2020,1401500.63970539,"sheep_goats",10179.2981361715,137.681461035633
"ETH","GS_agrexp",2020,377.531401566562,"pigs",5.03271659333334,75.0154304469806
"ETH","GS_agrexp",2025,3899185.93685522,"cattle",40239.9797545575,96.898307619392
"ETH","GS_agrexp",2025,210313.920289202,"chickens",1748.28957359208,120.296959649017
"ETH","GS_agrexp",2025,1735755.81318356,"sheep_goats",11007.0290662135,157.695214825182
"ETH","GS_agrexp",2025,42008.8836685435,"pigs",5.64388772918055,7443.252893098
"ETH","GS_agrexp",2030,5002468.82184448,"cattle",45769.3956703757,109.297244339242
"ETH","GS_agrexp",2030,435976.788967611,"chickens",3110.94366534069,140.142939206797
"ETH","GS_agrexp",2030,2204912.2345803,"sheep_goats",12524.1331215978,176.05308193171
"ETH","GS_agrexp",2030,91791.0347141915,"pigs",6.19728552019501,14811.490355749
"ETH","GS_agrexp",2035,6187007.91043684,"cattle",51171.1915382655,120.90802899929
"ETH","GS_agrexp",2035,697398.327551769,"chickens",4676.79290725876,149.118924310151
"ETH","GS_agrexp",2035,2714982.88107053,"sheep_goats",14053.9821778329,193.182462217209
"ETH","GS_agrexp",2035,147943.321108095,"pigs",6.67020453629565,22179.7278184
"ETH","GS_agrexp",2040,7445689.67672949,"cattle",56499.3446471365,131.783646752562
"ETH","GS_agrexp",2040,992540.977969543,"chickens",6435.20553615751,154.236095862479
"ETH","GS_agrexp",2040,3265744.416349,"sheep_goats",15602.8991851213,209.303692704953
"ETH","GS_agrexp",2040,208926.582738923,"pigs",7.07076039760024,29547.9652810511
"ETH","GS_agrexp",2045,8773655.4354269,"cattle",61795.2255647299,141.979503355588
"ETH","GS_agrexp",2045,1320408.77450533,"chickens",8381.26125440954,157.54296810765
"ETH","GS_agrexp",2045,3857802.95268713,"sheep_goats",17075.4725261319,225.926570804013
"ETH","GS_agrexp",2045,273382.351854234,"pigs",7.40548408383829,36916.2027437021
"ETH","GS_agrexp",2050,10136609.9391407,"cattle",66885.347931532,151.552025258465
"ETH","GS_agrexp",2050,1675518.43945376,"chickens",10481.4184495311,159.856077449966
"ETH","GS_agrexp",2050,4479043.77197202,"sheep_goats",18519.6798217225,241.853196982292
"ETH","GS_agrexp",2050,339057.827343876,"pigs",7.65636475845603,44284.4402063532
"ETH","GS_crop",2000,1438905.22148774,"cattle",17256.8863756889,83.3815087010623
"ETH","GS_crop",2000,12804.2849403586,"chickens",324.588299089887,39.4477711496704
"ETH","GS_crop",2000,283883.335332847,"sheep_goats",2061.88497127711,137.681461035633
"ETH","GS_crop",2000,263.963671528248,"pigs",3.51879166666667,75.0154304469806
"ETH","GS_crop",2005,1757651.74468186,"cattle",21077.8758913988,83.3884663586569
"ETH","GS_crop",2005,14480.558081804,"chickens",366.90605433974,39.4666643150989
"ETH","GS_crop",2005,542648.617104502,"sheep_goats",3941.33395318968,137.681461035633
"ETH","GS_crop",2005,306.197858972768,"pigs",4.08179833333333,75.0154304469806
"ETH","GS_crop",2010,2322761.30110667,"cattle",27855.5971265769,83.385801803205
"ETH","GS_crop",2010,22181.2423304638,"chickens",561.810105179663,39.4817432544586
"ETH","GS_crop",2010,716407.007507049,"sheep_goats",5202.95103351733,137.692437021215
"ETH","GS_crop",2010,327.314952695028,"pigs",4.36330166666667,75.0154304469806
"ETH","GS_crop",2015,2516276.97682004,"cattle",30176.3739343404,83.3856639732496
"ETH","GS_crop",2015,27219.1575791462,"chickens",689.486420974365,39.4774382078195
"ETH","GS_crop",2015,859462.127649564,"sheep_goats",6242.31678674837,137.683196321291
"ETH","GS_crop",2015,366.286549159459,"pigs",4.88281606833334,75.0154304469806
"ETH","GS_crop",2020,3058331.80542247,"cattle",36677.5507625334,83.3842975291196
"ETH","GS_crop",2020,25612.6387795995,"chickens",648.96892666454,39.4666643150989
"ETH","GS_crop",2020,1401500.63970539,"sheep_goats",10179.2981361715,137.681461035633
"ETH","GS_crop",2020,377.531401566562,"pigs",5.03271659333334,75.0154304469806
"ETH","GS_crop",2025,3899185.93685522,"cattle",40239.9797545575,96.898307619392
"ETH","GS_crop",2025,210313.920289202,"chickens",1748.28957359208,120.296959649017
"ETH","GS_crop",2025,1735755.81318356,"sheep_goats",11007.0290662135,157.695214825182
"ETH","GS_crop",2025,42008.8836685435,"pigs",5.64388772918055,7443.252893098
"ETH","GS_crop",2030,5002468.82184448,"cattle",45769.3956703757,109.297244339242
"ETH","GS_crop",2030,435976.788967611,"chickens",3110.94366534069,140.142939206797
"ETH","GS_crop",2030,2204912.2345803,"sheep_goats",12524.1331215978,176.05308193171
"ETH","GS_crop",2030,91791.0347141915,"pigs",6.19728552019501,14811.490355749
"ETH","GS_crop",2035,6187007.91043684,"cattle",51171.1915382655,120.90802899929
"ETH","GS_crop",2035,697398.327551769,"chickens",4676.79290725876,149.118924310151
"ETH","GS_crop",2035,2714982.88107053,"sheep_goats",14053.9821778329,193.182462217209
"ETH","GS_crop",2035,147943.321108095,"pigs",6.67020453629565,22179.7278184
"ETH","GS_crop",2040,7445689.67672949,"cattle",56499.3446471365,131.783646752562
"ETH","GS_crop",2040,992540.977969543,"chickens",6435.20553615751,154.236095862479
"ETH","GS_crop",2040,3265744.416349,"sheep_goats",15602.8991851213,209.303692704953
"ETH","GS_crop",2040,208926.582738923,"pigs",7.07076039760024,29547.9652810511
"ETH","GS_crop",2045,8773655.43542689,"cattle",61795.2255647299,141.979503355588
"ETH","GS_crop",2045,1320408.77450533,"chickens",8381.26125440954,157.54296810765
"ETH","GS_crop",2045,3857802.95268713,"sheep_goats",17075.4725261319,225.926570804013
"ETH","GS_crop",2045,273382.351854234,"pigs",7.40548408383829,36916.2027437021
"ETH","GS_crop",2050,10136609.9391407,"cattle",66885.347931532,151.552025258465
"ETH","GS_crop",2050,1675518.43945376,"chickens",10481.4184495311,159.856077449966
"ETH","GS_crop",2050,4479043.77197202,"sheep_goats",18519.6798217225,241.853196982292
"ETH","GS_crop",2050,339057.827343876,"pigs",7.65636475845603,44284.4402063532
"ETH","GS_pop",2000,1438905.22148774,"cattle",17256.8863756889,83.3815087010623
"ETH","GS_pop",2000,12804.2849403586,"chickens",324.588299089887,39.4477711496704
"ETH","GS_pop",2000,283883.335332847,"sheep_goats",2061.88497127711,137.681461035633
"ETH","GS_pop",2000,263.963671528248,"pigs",3.51879166666667,75.0154304469806
"ETH","GS_pop",2005,1757651.74468186,"cattle",21077.8758913988,83.3884663586569
"ETH","GS_pop",2005,14480.558081804,"chickens",366.90605433974,39.4666643150989
"ETH","GS_pop",2005,542648.617104502,"sheep_goats",3941.33395318968,137.681461035633
